,translated_answer,translated_question,question,answer,qa_pair_score,most_relevant_contexts,context_scores,true_answer,true_answer_similarity_score
10,Consider the set of possible new wordpieces made by concatenating two wordpieces,What is a language model?,What is a language model?,Consider the set of possible new wordpieces made by concatenating two wordpieces,"[{'label': 'LABEL_0', 'score': 0.9913291931152344}]","['Recall that we evaluate language models by examining how well they predict unseen text. Intuitively, good models are those that assign higher probabilities to unseen data (are less surprised when encountering the new words).', 'Language models can also be a tool for generating text for misinformation, phishing, radicalization, and other socially harmful activities (Brown et al., 2020) . McGuffie and Newhouse (2020) show how large language models generate text that emulates online extremists, with the risk of amplifying extremist movements and their attempt to radicalize and recruit.', 'This chapter introduced language modeling and the n-gram, one of the most widely used tools in language processing.', 'For language modeling, the classes are the words in the vocabulary, soŷ i here means the probability that the model assigns to the correct next word w t :', '(a) Train an n-gram language model on the training corpus, using the current set of wordpieces. (b) Consider the set of possible new wordpieces made by concatenating two wordpieces from the current lexicon. Choose the one new wordpiece that most increases the language model probability of the training corpus.']","[0.660757303237915, 0.6327842473983765, 0.5947139859199524, 0.5758997201919556, 0.53534996509552]",Models that assign probabilities to sequences of words are called language models,tensor([[0.2267]])
11,the fraction of times the word w i appears among all words in all documents of topic,How can we estimate the probability of a word?,How can we estimate the probability of a word?,the fraction of times the word w i appears among all words in all documents of topic,"[{'label': 'LABEL_0', 'score': 0.9941422343254089}]","['To learn the probability P( f i |c), we\'ll assume a feature is just the existence of a word in the document\'s bag of words, and so we\'ll want P(w i |c), which we compute as the fraction of times the word w i appears among all words in all documents of topic c. We first concatenate all documents with category c into one big ""category c"" text. Then we use the frequency of w i in this concatenated document to give a maximum likelihood estimate of the probability:', 'Given the bigram assumption for the probability of an individual word, we can compute the probability of a complete word sequence by substituting Eq. 3.7 into Eq. 3.4:', '1. Choose a vocabulary (word list) that is fixed in advance. 2. Convert in the training set any word that is not in this set (any word) to the unknown word token <UNK> in a text normalization step. 3. Estimate the probabilities for <UNK> from its counts just like any other regular word in the training set.', 'Let\'s begin with the task of computing P(w|h), the probability of a word w given some history h. Suppose the history h is ""its water is so transparent that"" and we want to know the probability that the next word is the:', 'We model the probability that word c is a real context word for target word w as:']","[0.6786948442459106, 0.6456896066665649, 0.6451226472854614, 0.6408520936965942, 0.62589430809021]",from relative frequency counts,tensor([[0.1447]])
12,a hidden Markov chain,What is a Markov model?,What is a Markov model?,a hidden Markov chain,"[{'label': 'LABEL_0', 'score': 0.9988561868667603}]","['Formally, a Markov chain is specified by the following components:', 'A hidden Markov model (HMM) allows us to talk about both observed events hidden Markov model (like words that we see in the input) and hidden events (like part-of-speech tags) that we think of as causal factors in our probabilistic model. An HMM is specified by the following components:', 'An HMM is a probabilistic sequence model: given a sequence of units (words, letters, morphemes, sentences, whatever), it computes a probability distribution over possible sequences of labels and chooses the best label sequence.', ""The HMM is based on augmenting the Markov chain. A Markov chain is a model Markov chain that tells us something about the probabilities of sequences of random variables, states, each of which can take on values from some set. These sets can be words, or tags, or symbols representing anything, for example the weather. A Markov chain makes a very strong assumption that if we want to predict the future in the sequence, all that matters is the current state. All the states before the current state have no impact on the future except via the current state. It's as if to predict tomorrow's weather you could examine today's weather but you weren't allowed to look at yesterday's weather. More formally, consider a sequence of state variables q 1 , q 2 , ..., q i . A Markov model embodies the Markov assumption on the probabilities of this sequence: that"", 'an initial probability distribution over states. π i is the probability that the Markov chain will start in state i. Some states j may have π j = 0, meaning that they cannot be initial states. Also, n i=1 π i = 1 A first-order hidden Markov model instantiates two simplifying assumptions. First, as with a first-order Markov chain, the probability of a particular state depends only on the previous state:']","[0.6206581592559814, 0.6106089353561401, 0.5986588001251221, 0.5683189630508423, 0.537415087223053]",Markov models are the class of probabilistic models Markov that assume we can predict the probability of some future unit without looking too far into the past.,tensor([[0.3926]])
13,linear interpolation,What technique can be used to estimate n-gram probabilities?,What technique can be used to estimate n-gram probabilities?,linear interpolation,"[{'label': 'LABEL_1', 'score': 0.9265583157539368}]","['In simple linear interpolation, we combine different order n-grams by linearly interpolating them. Thus, we estimate the trigram probability P(w n |w n−2 w n−1 ) by mixing together the unigram, bigram, and trigram probabilities, each weighted by a', '• Language models offer a way to assign a probability to a sentence or other sequence of words, and to predict a word from preceding words. • n-grams are Markov models that estimate words from a fixed window of previous words. n-gram probabilities can be estimated by counting in a corpus and normalizing (the maximum likelihood estimate). • n-gram language models are evaluated extrinsically in some task, or intrinsically using perplexity. • The perplexity of a test set according to a language model is the geometric mean of the inverse test set probability computed by the model. • Smoothing algorithms provide a more sophisticated way to estimate the probability of n-grams. Commonly used smoothing algorithms for n-grams rely on lower-order n-gram counts through backoff or interpolation.', ""The discounting we have been discussing so far can help solve the problem of zero frequency n-grams. But there is an additional source of knowledge we can draw on. If we are trying to compute P(w n |w n−2 w n−1 ) but we have no examples of a particular trigram w n−2 w n−1 w n , we can instead estimate its probability by using the bigram probability P(w n |w n−1 ). Similarly, if we don't have counts to compute P(w n |w n−1 ), we can look to the unigram P(w n )."", 'The n-gram model, like many statistical models, is dependent on the training corpus. One implication of this is that the probabilities often encode specific facts about a given training corpus. Another implication is that n-grams do a better and better job of modeling the training corpus as we increase the value of N.', 'The intuition of the n-gram model is that instead of computing the probability of a word given its entire history, we can approximate the history by just the last few words.']","[0.5885682106018066, 0.5691528916358948, 0.5520919561386108, 0.5434221029281616, 0.5372037887573242]",maximum likelihood estimation or MLE,tensor([[0.0358]])
14,bigram models are more complicated and require more context,What is the difference between bigram and trigram models?,What is the difference between bigram and trigram models?,bigram models are more complicated and require more context,"[{'label': 'LABEL_0', 'score': 0.9990918636322021}]","['In other words, sometimes using less context is a good thing, helping to generalize more for contexts that the model hasn\'t learned much about. There are two ways to use this n-gram ""hierarchy"". In backoff, we use the trigram if the evidence is backoff sufficient, otherwise we use the bigram, otherwise the unigram. In other words, we only ""back off"" to a lower-order n-gram if we have zero evidence for a higher-order n-gram. By contrast, in interpolation, we always mix the probability estimates from interpolation all the n-gram estimators, weighing and combining the trigram, bigram, and unigram counts.', ""Some practical issues: Although for pedagogical purposes we have only described bigram models, in practice it's more common to use trigram models, which condition on the previous two words rather than the previous word, or 4-gram or even 5-gram models, when there is sufficient training data. Note that for these larger n-grams, we'll need to assume extra contexts to the left and right of the sentence end. For example, to compute trigram probabilities at the very beginning of the sentence, we use two pseudo-words for the first trigram (i.e., P(I|<s><s>)."", 'In simple linear interpolation, we combine different order n-grams by linearly interpolating them. Thus, we estimate the trigram probability P(w n |w n−2 w n−1 ) by mixing together the unigram, bigram, and trigram probabilities, each weighted by a', 'The bigram model, for example, approximates the probability of a word given all the previous words P(w n |w 1:n−1 ) by using only the conditional probability of the preceding word P(w n |w n−1 ). In other words, instead of computing the probability', 'In a slightly more sophisticated version of linear interpolation, each λ weight is computed by conditioning on the context. This way, if we have particularly accurate counts for a particular bigram, we assume that the counts of the trigrams based on this bigram will be more trustworthy, so we can make the λ s for those trigrams higher and thus give that trigram more weight in the interpolation. Equation 3.28 shows the equation for interpolation with context-conditioned weights:']","[0.5070269107818604, 0.492308109998703, 0.4895547330379486, 0.4701557159423828, 0.44139689207077026]",condition on the previous two words rather than the previous word,tensor([[-0.1059]])
15,if they use identical vocabularies.,How can two probabilisting language models be compared on a test set?,How can two probabilisting language models be compared on a test set?,if they use identical vocabularies.,"[{'label': 'LABEL_0', 'score': 0.5413870811462402}]","[""In practice we don't use raw probability as our metric for evaluating language models, but a variant called perplexity. The perplexity (sometimes called PP for short) perplexity of a language model on a test set is the inverse probability of the test set, normalized by the number of words. For a test set W = w 1 w 2 . . . w N ,:"", 'But what does it mean to ""fit the test set""? The answer is simple: whichever model assigns a higher probability to the test set-meaning it more accurately predicts the test set-is a better model. Given two probabilistic models, the better model is the one that has a tighter fit to the test data or that better predicts the details of the test data, and hence will assign a higher probability to the test data.', 'In this chapter, we\'ll begin exploring the RNN and transformer architectures through the lens of probabilistic language models, so let\'s briefly remind ourselves of the framework for language modeling. Recall from Chapter 3 that probabilistic language models predict the next word in a sequence given some preceding context. For example, if the preceding context is ""Thanks for all the"" and we want to know how likely the next word is ""fish"" we would compute:', 'Recall that we evaluate language models by examining how well they predict unseen text. Intuitively, good models are those that assign higher probabilities to unseen data (are less surprised when encountering the new words).', 'Note that in computing perplexities, the n-gram model P must be constructed without any knowledge of the test set or any prior knowledge of the vocabulary of the test set. Any kind of knowledge of the test set can cause the perplexity to be artificially low. The perplexity of two language models is only comparable if they use identical vocabularies.']","[0.6412659287452698, 0.5367025136947632, 0.5252885818481445, 0.5138706564903259, 0.508092999458313]",whichever model assigns a higher probability to the test set-meaning it more accurately predicts the test set-is a better model,tensor([[0.2464]])
16,the inverse probability of the test set,What is the perplexity of a language model?,What is the perplexity of a language model?,the inverse probability of the test set,"[{'label': 'LABEL_0', 'score': 0.9318538308143616}]","['Note that in computing perplexities, the n-gram model P must be constructed without any knowledge of the test set or any prior knowledge of the vocabulary of the test set. Any kind of knowledge of the test set can cause the perplexity to be artificially low. The perplexity of two language models is only comparable if they use identical vocabularies.', ""In practice we don't use raw probability as our metric for evaluating language models, but a variant called perplexity. The perplexity (sometimes called PP for short) perplexity of a language model on a test set is the inverse probability of the test set, normalized by the number of words. For a test set W = w 1 w 2 . . . w N ,:"", ""An (intrinsic) improvement in perplexity does not guarantee an (extrinsic) improvement in the performance of a language processing task like speech recognition or machine translation. Nonetheless, because perplexity often correlates with such improvements, it is commonly used as a quick check on an algorithm. But a model's improvement in perplexity should always be confirmed by an end-to-end evaluation of a real task before concluding the evaluation of the model."", 'Recall that we evaluate language models by examining how well they predict unseen text. Intuitively, good models are those that assign higher probabilities to unseen data (are less surprised when encountering the new words).', ""Finally, let's look at an example of how perplexity can be used to compare different n-gram models. We trained unigram, bigram, and trigram grammars on 38 million words (including start-of-sentence tokens) from the Wall Street Journal, using a 19,979 word vocabulary. We then computed the perplexity of each of these models on a test set of 1.5 million words with Eq. 3.16. The table below shows the perplexity of a 1.5 million word WSJ test set according to each of these grammars.""]","[0.6963425874710083, 0.6351802945137024, 0.6234023571014404, 0.5823649764060974, 0.5766159296035767]","perplexity of a language model on a test set is the inverse probability of the test set, normalized by the number of words.",tensor([[0.5108]])
17,no answer>,How can language models be prevented from assigning zero probability to unknown words?,How can language models be prevented from assigning zero probability to unknown words?,no answer>,"[{'label': 'LABEL_0', 'score': 0.9398353099822998}]","['Language models give us the ability to assign such a conditional probability to every possible next word, giving us a distribution over the entire vocabulary. We can also assign probabilities to entire sequences by using these conditional probabilities in combination with the chain rule:', 'There are two common ways to train the probabilities of the unknown word model <UNK>. The first one is to turn the problem back into a closed vocabulary one by choosing a fixed vocabulary in advance:', ""In practice we don't use raw probability as our metric for evaluating language models, but a variant called perplexity. The perplexity (sometimes called PP for short) perplexity of a language model on a test set is the inverse probability of the test set, normalized by the number of words. For a test set W = w 1 w 2 . . . w N ,:"", 'Each of the two columns above instantiates a language model that can assign a probability to the sentence ""I love this fun film"": P(""I love this fun film""|+) = 0.1 × 0.1 × 0.01 × 0.05 × 0.1 = 0.0000005 P(""I love this fun film""|−) = 0.2 × 0.001 × 0.01 × 0.005 × 0.1 = .0000000010', 'The previous section discussed the problem of words whose bigram probability is zero. But what about words we simply have never seen before?']","[0.6428560018539429, 0.6413708925247192, 0.6219311952590942, 0.5913847088813782, 0.5787986516952515]",smoothing or discounting,tensor([[-0.0313]])
18,pruning,What technique can be used to shrink an n-gram language model?,What technique can be used to shrink an n-gram language model?,pruning,"[{'label': 'LABEL_1', 'score': 0.9335383176803589}]","['An n-gram language model can also be shrunk by pruning, for example only storing n-grams with counts greater than some threshold (such as the count threshold of 40 used for the Google n-gram release) or using entropy to prune less-important n-grams (Stolcke, 1998) . Another option is to build approximate language models using techniques like Bloom filters (Talbot and Osborne 2007, Church et al. 2007) .', 'This chapter introduced language modeling and the n-gram, one of the most widely used tools in language processing.', 'How should we deal with this problem when we build n-gram models? One step is to be sure to use a training corpus that has a similar genre to whatever task we are trying to accomplish. To build a language model for translating legal documents, we need a training corpus of legal documents. To build a language model for a question-answering system, we need a training corpus of questions.', 'The intuition of the n-gram model is that instead of computing the probability of a word given its entire history, we can approximate the history by just the last few words.', ""Although with these toolkits it is possible to build web-scale language models using full Kneser-Ney smoothing, Brants et al. (2007) show that with very large language models a much simpler algorithm may be sufficient. The algorithm is called stupid backoff. Stupid backoff gives up the idea of trying to make the language stupid backoff model a true probability distribution. There is no discounting of the higher-order probabilities. If a higher-order n-gram has a zero count, we simply backoff to a lower order n-gram, weighed by a fixed (context-independent) weight. This algorithm does not produce a probability distribution, so we'll follow Brants et al. (2007) in referring to it as S:""]","[0.8097999691963196, 0.6217978596687317, 0.5255093574523926, 0.5173783302307129, 0.47357842326164246]",pruning,tensor([[1.0000]])
19,when the probabilities assigned to a Stationary sequence are invariant with respect to shift,When is a stochastic process said to be stationary?,When is a stochastic process said to be stationary?,when the probabilities assigned to a Stationary sequence are invariant with respect to shift,"[{'label': 'LABEL_0', 'score': 0.9661997556686401}]","['Again, following the Shannon-McMillan-Breiman theorem, for a stationary ergodic process:', ""A stochastic process is said to be stationary if the probabilities it assigns to a Stationary sequence are invariant with respect to shifts in the time index. In other words, the probability distribution for words at time t is the same as the probability distribution at time t + 1. Markov models, and hence n-grams, are stationary. For example, in a bigram, P i is dependent only on P i−1 . So if we shift our time index by x, P i+x is still dependent on P i+x−1 . But natural language is not stationary, since as we show in Chapter 12, the probability of upcoming words can be dependent on events that were arbitrarily distant and time dependent. Thus, our statistical models only give an approximation to the correct distributions and entropies of natural language. To summarize, by making some incorrect but convenient simplifying assumptions, we can compute the entropy of some stochastic process by taking a very long sample of the output and computing its average log probability. Now we are ready to introduce cross-entropy. The cross-entropy is useful when cross-entropy we don't know the actual probability distribution p that generated some data. It allows us to use some m, which is a model of p (i.e., an approximation to p). The cross-entropy of m on p is defined by"", ""Stochastic gradient descent is called stochastic because it chooses a single random example at a time, moving the weights so as to improve performance on that single example. That can result in very choppy movements, so it's common to compute the gradient over batches of training instances rather than a single instance."", 'Stochastic gradient descent is an online algorithm that minimizes the loss function by computing its gradient after each training example, and nudging θ in the right direction (the opposite direction of the gradient). (an ""online algorithm"" is one that processes its input example by example, rather than waiting until it sees the entire input). x is the set of training inputs', 'Formally, a Markov chain is specified by the following components:']","[0.4607822597026825, 0.3858277201652527, 0.3848760724067688, 0.3542807996273041, 0.34284740686416626]",A stochastic process is said to be stationary if the probabilities it assigns to a Stationary sequence are invariant with respect to shifts in the time index.,tensor([[0.7163]])
20,because estimating the probability of every possible combination of features would require huge numbers of parameters and im,Why are simplifying assumptions needed when using a Naive Bayes Classifier?,Why are simplifying assumptions needed when using a Naive Bayes Classifier?,because estimating the probability of every possible combination of features would require huge numbers of parameters and im,"[{'label': 'LABEL_0', 'score': 0.9782356023788452}]","['It is important to avoid harms that may result from classifiers, harms that exist both for naive Bayes classifiers and for the other classification algorithms we introduce in later chapters.', 'Unfortunately, Eq. 4.6 is still too hard to compute directly: without some simplifying assumptions, estimating the probability of every possible combination of features (for example, every possible set of words and positions) would require huge numbers of parameters and impossibly large training sets. Naive Bayes classifiers therefore make two simplifying assumptions.', 'Naive Bayes is a probabilistic classifier, meaning that for a document d, out of all classes c ∈ C the classifier returns the classĉ which has the maximum posterior probability given the document. In Eq. 4.1 we use the hat notationˆto mean ""our estimate of the correct class"".', 'The final equation for the class chosen by a naive Bayes classifier is thus:', ""The second is commonly called the naive Bayes assumption: this is the condi-naive Bayes assumption tional independence assumption that the probabilities P( f i |c) are independent given the class c and hence can be 'naively' multiplied as follows:""]","[0.7093966007232666, 0.6958275437355042, 0.6944726705551147, 0.6839500665664673, 0.6771999597549438]","without some simplifying assumptions, estimating the probability of every possible combination of features (for example, every possible set of words and positions) would require huge numbers of parameters and impossibly large training sets.",tensor([[0.7053]])
21,add-one (Laplace) smoothing,What can be done to optimize Naive Bayes when an insufficient amount of labeled data is present?,What can be done to optimize Naive Bayes when an insufficient amount of labeled data is present?,add-one (Laplace) smoothing,"[{'label': 'LABEL_0', 'score': 0.9249223470687866}]","[""Despite the less accurate probabilities, naive Bayes still often makes the correct classification decision. Furthermore, naive Bayes can work extremely well (sometimes even better than logistic regression) on very small datasets (Ng and Jordan, 2002) or short documents (Wang and Manning, 2012). Furthermore, naive Bayes is easy to implement and very fast to train (there's no optimization step). So it's still a reasonable approach to use in some situations."", 'Unfortunately, Eq. 4.6 is still too hard to compute directly: without some simplifying assumptions, estimating the probability of every possible combination of features (for example, every possible set of words and positions) would require huge numbers of parameters and impossibly large training sets. Naive Bayes classifiers therefore make two simplifying assumptions.', 'to make a classification decision —like naive Bayes and also logistic regression—', 'To apply the naive Bayes classifier to text, we need to consider word positions, by simply walking an index through every word position in the document:', 'But since naive Bayes naively multiplies all the feature likelihoods together, zero probabilities in the likelihood term for any class will cause the probability of the class to be zero, no matter the other evidence! The simplest solution is the add-one (Laplace) smoothing introduced in Chapter 3. While Laplace smoothing is usually replaced by more sophisticated smoothing algorithms in language modeling, it is commonly used in naive Bayes text categorization:P']","[0.5586993098258972, 0.5458903908729553, 0.5106940269470215, 0.5086640119552612, 0.4977254867553711]","derive the positive and negative word features from sentiment lexicons, lists of words that are pre-sentiment lexicons annotated with positive or negative sentiment.",tensor([[-0.0399]])
22,binarized features,What type of features can be used to train a Naive Bayes classifier?,What type of features can be used to train a Naive Bayes classifier?,binarized features,"[{'label': 'LABEL_0', 'score': 0.5852330923080444}]","[""In the previous section we pointed out that naive Bayes doesn't require that our classifier use all the words in the training data as features. In fact features in naive Bayes can express any property of the input text we want."", 'Unfortunately, Eq. 4.6 is still too hard to compute directly: without some simplifying assumptions, estimating the probability of every possible combination of features (for example, every possible set of words and positions) would require huge numbers of parameters and impossibly large training sets. Naive Bayes classifiers therefore make two simplifying assumptions.', 'to make a classification decision —like naive Bayes and also logistic regression—', 'It is important to avoid harms that may result from classifiers, harms that exist both for naive Bayes classifiers and for the other classification algorithms we introduce in later chapters.', ""• Text categorization, in which an entire text is assigned a class from a finite set, includes such tasks as sentiment analysis, spam detection, language identification, and authorship attribution. • Sentiment analysis classifies a text as reflecting the positive or negative orientation (sentiment) that a writer expresses toward some object. • Naive Bayes is a generative model that makes the bag of words assumption (position doesn't matter) and the conditional independence assumption (words are conditionally independent of each other given the class) • Naive Bayes with binarized features seems to work better for many text classification tasks. • Classifiers are evaluated based on precision and recall.""]","[0.727729082107544, 0.6897422075271606, 0.6595452427864075, 0.6515998840332031, 0.613821804523468]","dictionaries, URLs, email addresses, network features, phrases",tensor([[0.1789]])
23,accuracy is not a good metric when the goal is to discover something that is rare or,Why is accuracy rarely used alone for unbalanced text classification tasks?,Why is accuracy rarely used alone for unbalanced text classification tasks?,accuracy is not a good metric when the goal is to discover something that is rare or,"[{'label': 'LABEL_0', 'score': 0.9708147048950195}]","['while the other 999,900 are tweets about something completely unrelated. Imagine a simple classifier that stupidly classified every tweet as ""not about pie"". This classifier would have 999,900 true negatives and only 100 false negatives for an accuracy of 999,900/1,000,000 or 99.99%! What an amazing accuracy level! Surely we should be happy with this classifier? But of course this fabulous \'no pie\' classifier would be completely useless, since it wouldn\'t find a single one of the customer comments we are looking for. In other words, accuracy is not a good metric when the goal is to discover something that is rare, or at least not completely balanced in frequency, which is a very common situation in the world.', 'The goal of classification is to take a single observation, extract some useful features, and thereby classify the observation into one of a set of discrete classes. One method for classifying text is to use handwritten rules. There are many areas of language processing where handwritten rule-based classifiers constitute a state-ofthe-art system, or at least part of it.', 'The training and testing procedure for text classification follows what we saw with language modeling (Section 3.2): we use the training set to train the model, then use the development test set (also called a devset) to perhaps tune some parameters, and in general decide what the best model is. Once we come up with what we think is the best model, we run it on the (hitherto unseen) test set to report its performance.', 'While humans produce the best evaluations of machine translation output, running a human evaluation can be time consuming and expensive. For this reason automatic metrics are often used. Automatic metrics are less accurate than human evaluation, but can help test potential system improvements, and even be used as an automatic loss function for training. In this section we introduce two families of such metrics, those based on character-or word-overlap and those based on embedding similarity.', ""• Text categorization, in which an entire text is assigned a class from a finite set, includes such tasks as sentiment analysis, spam detection, language identification, and authorship attribution. • Sentiment analysis classifies a text as reflecting the positive or negative orientation (sentiment) that a writer expresses toward some object. • Naive Bayes is a generative model that makes the bag of words assumption (position doesn't matter) and the conditional independence assumption (words are conditionally independent of each other given the class) • Naive Bayes with binarized features seems to work better for many text classification tasks. • Classifiers are evaluated based on precision and recall.""]","[0.4932141602039337, 0.44002604484558105, 0.4157196283340454, 0.4142651855945587, 0.4027450680732727]",because accuracy doesn't work well when the classes are unbalanced,tensor([[0.4526]])
